id,reg_number,first_name,last_name,birth_place,birth_date,phone_number,gender,bank,bank_account,religion,id_number,job_title,division,mother_name,blood_type,date_of_hire,marital_status,is_active
68,13.08.735,INDRA,GUNAWAN,Gresik,1977-12-14,,L,2,4230100413166,ISLAM,,1,1,,,2014-02-06,TK,1
5,15.06.2004,MUHAMAD,RIFCAL,Sidoarjo,1978-05-18,,L,,,ISLAM,,2,2,,,2014-01-07,TK,1
8,15.08.2009,RISKI,SAPUTRA,Bangkalan,1978-08-30,,L,3,0700006555523,ISLAM,,2,2,,,2014-01-10,TK,1
27,15.08.2100,ZAKARIA,ZULKARNAIN,Lamongan,1978-01-01,,L,2,703217264300,ISLAM,,2,2,,,2014-02-03,TK,1
1,15.08.2125,RIDWAN,,Surabaya,1978-01-01,,L,2,5020162778112,ISLAM,,2,2,,,2014-01-02,TK,1
2,15.08.2126,HERLY,DARMAWAN,Jember,1988-02-06,,L,2,5020162780119,ISLAM,,2,2,,,2014-01-03,TK,1
10,15.08.2128,SANSANG,ILYAS,Tulungagung,1973-10-06,,L,2,5020162772116,ISLAM,,2,2,,,2014-01-13,TK,1
11,15.08.2129,SOLIHIN,,Jombang,1975-11-10,,L,2,5020162775114,ISLAM,,2,2,,,2014-01-14,TK,1
13,15.08.2133,NURKHOLIS,,Lamongan,1978-01-01,,L,2,760985333400,ISLAM,,1,1,,,2014-01-16,TK,1
16,15.08.2137,MUHAMAD,JONI,Jember,1988-02-06,,L,2,5020162773112,ISLAM,,1,1,,,2014-01-19,TK,1
18,15.08.2143,YAHYA,ANDRIANSYAH,Banyuwangi,1981-04-14,,L,2,5020163058117,ISLAM,,1,1,,,2014-01-21,TK,1
19,15.08.2144,MUHAMMAD,SALEH,Sidoarjo,1978-05-18,,L,2,5160134926119,ISLAM,,1,1,,,2014-01-24,TK,1
20,15.08.2145,BAYU,MU'MIN,Semarang,1973-06-22,,L,2,5020163060114,ISLAM,,1,1,,,2014-01-25,TK,1
21,15.08.2146,SYAHRONI,,Yogyakarta,1983-07-26,,L,2,5020163337113,ISLAM,,1,1,,,2014-01-26,TK,1
17,15.08.2181,RIZAL,ANSORI,Malang,1983-03-10,,L,2,5020163206118,ISLAM,,1,1,,,2014-01-20,TK,1
30,15.09.2154,ERLAMBANG,W.,Jember,1988-02-06,,L,2,2160103047163,ISLAM,,1,1,,,2014-02-06,TK,1
31,15.09.2155,FERI,FADELI,Malang,1983-03-10,,L,2,2160103048169,ISLAM,,1,1,,,2014-02-06,TK,1
22,15.09.2156,MOH.,DOFIR,Bangkalan,1978-08-30,,L,2,2160103178168,ISLAM,,2,2,,,2014-01-27,TK,1
23,15.09.2157,HENDI,SETIAWAN,Sumenep,1976-09-02,,L,2,2160103142167,ISLAM,,2,2,,,2014-01-29,TK,1
24,15.09.2158,SUTRISNO,,Tulungagung,1973-10-06,,L,2,8120101822167,ISLAM,,2,2,,,2014-01-30,TK,1
25,15.09.2159,SUNGKONO,,Jombang,1975-11-10,,L,2,2160103217166,ISLAM,,2,2,,,2014-01-31,TK,1
7,15.09.2161,FERI,RIDWANULLAH,Yogyakarta,1983-07-26,,L,2,5020163709116,ISLAM,,2,2,,,2014-01-09,TK,1
26,15.09.2168,LESMONO,TRI ATMO W.,Gresik,1977-12-14,,L,2,2160103177162,ISLAM,,2,2,,,2014-02-02,TK,1
28,15.09.2170,EDI,DUWI SUSANTO,Mojokerto,1988-02-06,,L,2,2160103151166,ISLAM,,2,2,,,2014-02-04,TK,1
29,15.09.2171,ELLY,SISWANTO,Surabaya,1978-01-01,,L,2,2160103220169,ISLAM,,2,2,,,2014-02-05,TK,1
32,15.09.2172,AGUS,SUPRIYONO,Banyuwangi,1981-04-14,,L,2,2160103052168,ISLAM,,1,1,,,2014-02-06,TK,1
33,15.09.2175,MUHAMMAD,WAHYU SETYAWAN,Sidoarjo,1978-05-18,,L,2,6760100896161,ISLAM,,2,2,,,2014-02-06,TK,1
34,15.09.2176,PRANOTO,SUBAGYO,Semarang,1973-06-22,,L,2,6760100894169,ISLAM,,2,2,,,2014-02-06,TK,1
35,15.09.2177,NOR,ROHMAT BUDIARTO,Yogyakarta,1983-07-26,,L,2,6760100895165,ISLAM,,2,2,,,2014-02-06,TK,1
37,15.09.2179,WARSITO,,Sumenep,1976-09-02,,L,2,6760100899169,ISLAM,,3,2,,,2014-02-06,TK,1
38,15.09.2180,NOVA,KURNIAWAN,Tulungagung,1973-10-06,,L,2,6760100898163,ISLAM,,1,1,,,2014-02-06,TK,1
39,15.10.2199,AKHMAD,SANUSI,Jombang,1975-11-10,,L,2,5020164065117,ISLAM,,2,2,,,2014-02-06,TK,1
40,15.10.2200,RICKY,RICARDHO SAHOKA,Gresik,1977-12-14,,L,2,5020163707114,ISLAM,,2,2,,,2014-02-06,TK,1
41,15.10.2201,RASITO,,Lamongan,1978-01-01,,L,2,5020163810111,ISLAM,,2,2,,,2014-02-06,TK,1
156,15.10.2203,MA'MUN,,Jember,1988-02-06,,L,,,ISLAM,,2,2,,,2014-02-08,TK,1
157,15.10.2204,RENDI,LESMANA,Malang,1983-03-10,,L,,,ISLAM,,1,1,,,2014-02-09,TK,1
44,15.10.2205,JAYUSMAN,,Jember,1988-02-06,,L,2,5020163811117,ISLAM,,2,2,,,2014-02-06,TK,1
45,15.10.2206,AGUS,PRASETYO,Malang,1983-03-10,,L,2,5020163808114,ISLAM,,2,2,,,2014-02-06,TK,1
46,15.10.2207,APRIYADI,,Banyuwangi,1981-04-14,,L,,,ISLAM,,1,1,,,2014-02-06,TK,1
47,15.10.2208,SURYADI,,Sidoarjo,1978-05-18,,L,,,ISLAM,,1,1,,,2014-02-06,TK,1
49,15.10.2210,JUNAIDI,,Yogyakarta,1983-07-26,,L,2,5020164072114,ISLAM,,1,1,,,2014-02-06,TK,1
